X,Y,Z,formation
1.699393934,0.5,0.612772009,Base Imperial Fm
1.779429194,0.5,0.616807871,Base Imperial Fm
1.861416534,0.5,0.616732097,Base Imperial Fm
1.95706843,0.5,0.616643694,Base Imperial Fm
0.044030501,0.8,0.803354146,Base Imperial Fm
0.12796992,0.8,0.856704371,Base Imperial Fm
0.211909339,0.8,0.891560357,Base Imperial Fm
0.307561236,0.8,0.909966193,Base Imperial Fm
0.395404814,0.8,0.905775176,Base Imperial Fm
0.459823438,0.8,0.876946822,Base Imperial Fm
0.465679677,0.8,0.827623438,Base Imperial Fm
0.543762858,0.8,0.850155343,Base Imperial Fm
0.627702277,0.8,0.856242511,Base Imperial Fm
0.692120901,0.8,0.839743651,Base Imperial Fm
0.762395764,0.8,0.815019716,Base Imperial Fm
0.824862309,0.8,0.792357913,Base Imperial Fm
0.883424694,0.8,0.763534971,Base Imperial Fm
0.756539525,0.8,0.708169522,Base Imperial Fm
0.840478945,0.8,0.703982113,Base Imperial Fm
0.926370444,0.8,0.689518322,Base Imperial Fm
1.020070261,0.8,0.6729924,Base Imperial Fm
1.096201362,0.8,0.656482714,Base Imperial Fm
1.176236622,0.8,0.637914505,Base Imperial Fm
0.947843318,0.8,0.576478124,Base Imperial Fm
1.035686897,0.8,0.588726431,Base Imperial Fm
1.131338793,0.8,0.586583112,Base Imperial Fm
1.22699069,0.8,0.58649471,Base Imperial Fm
1.334355063,0.8,0.592560228,Base Imperial Fm
1.416342403,0.8,0.604813948,Base Imperial Fm
1.51004222,0.8,0.600617518,Base Imperial Fm
1.59202956,0.8,0.596431913,Base Imperial Fm
1.699393934,0.8,0.612772009,Base Imperial Fm
1.779429194,0.8,0.616807871,Base Imperial Fm
1.861416534,0.8,0.616732097,Base Imperial Fm
1.95706843,0.8,0.616643694,Base Imperial Fm
0.04598258,0.2,0.758144201,Top Hume Fm
0.116257443,0.2,0.803287393,Top Hume Fm
0.186532306,0.2,0.844320754,Top Hume Fm
0.264615486,0.2,0.860687912,Top Hume Fm
0.340746588,0.2,0.862672466,Top Hume Fm
0.41102145,0.2,0.835893616,Top Hume Fm
0.418829769,0.2,0.766019272,Top Hume Fm
0.502769188,0.2,0.792655596,Top Hume Fm
0.586708607,0.2,0.811072257,Top Hume Fm
0.660887629,0.2,0.804838953,Top Hume Fm
0.742874969,0.2,0.778049278,Top Hume Fm
0.799485275,0.2,0.749228141,Top Hume Fm
0.621846039,0.2,0.661030951,Top Hume Fm
0.709689617,0.2,0.667114511,Top Hume Fm
0.817053991,0.2,0.664960368,Top Hume Fm
0.916610046,0.2,0.648429033,Top Hume Fm
0.996645306,0.2,0.629860824,Top Hume Fm
0.897089251,0.2,0.541591468,Top Hume Fm
1.004453625,0.2,0.543547156,Top Hume Fm
1.129386714,0.2,0.545486607,Top Hume Fm
1.256271883,0.2,0.549479168,Top Hume Fm
1.371444574,0.2,0.559647302,Top Hume Fm
1.47100063,0.2,0.565720037,Top Hume Fm
1.59202956,0.2,0.563553265,Top Hume Fm
1.79504583,0.2,0.581859874,Top Hume Fm
1.908266442,0.2,0.579700318,Top Hume Fm
1.984397544,0.2,0.581684872,Top Hume Fm
0.04598258,0.5,0.758144201,Top Hume Fm
0.116257443,0.5,0.803287393,Top Hume Fm
0.186532306,0.5,0.844320754,Top Hume Fm
0.264615486,0.5,0.860687912,Top Hume Fm
0.340746588,0.5,0.862672466,Top Hume Fm
0.41102145,0.5,0.835893616,Top Hume Fm
0.418829769,0.5,0.766019272,Top Hume Fm
0.502769188,0.5,0.792655596,Top Hume Fm
0.586708607,0.5,0.811072257,Top Hume Fm
0.660887629,0.5,0.804838953,Top Hume Fm
0.742874969,0.5,0.778049278,Top Hume Fm
0.799485275,0.5,0.749228141,Top Hume Fm
0.621846039,0.5,0.661030951,Top Hume Fm
0.709689617,0.5,0.667114511,Top Hume Fm
0.817053991,0.5,0.664960368,Top Hume Fm
0.916610046,0.5,0.648429033,Top Hume Fm
0.996645306,0.5,0.629860824,Top Hume Fm
0.897089251,0.5,0.541591468,Top Hume Fm
1.004453625,0.5,0.543547156,Top Hume Fm
1.129386714,0.5,0.545486607,Top Hume Fm
1.256271883,0.5,0.549479168,Top Hume Fm
